Date,Price
23/11/2015,1070.09
24/11/2015,1074.94
25/11/2015,1072.38
26/11/2015,1071.68
27/11/2015,1057.97
30/11/2015,1063.68
1/12/2015,1065.99
2/12/2015,1055.8
3/12/2015,1056.4
4/12/2015,1084.8
7/12/2015,1075.82
8/12/2015,1074.28
9/12/2015,1072.18
10/12/2015,1074.78
11/12/2015,1076.57
14/12/2015,1070.43
15/12/2015,1061.43
16/12/2015,1074.65
17/12/2015,1051.97
18/12/2015,1064.57
21/12/2015,1079.18
22/12/2015,1076.18
23/12/2015,1069.1
24/12/2015,1075.45
25/12/2015,1075.45
28/12/2015,1069.74
29/12/2015,1068.95
30/12/2015,1062.05
31/12/2015,1062.38
1/1/2016,1062.38
4/1/2016,1077.84
5/1/2016,1077.84
6/1/2016,1089.35
7/1/2016,1104.15
8/1/2016,1103.18
11/1/2016,1101.28
12/1/2016,1089.05
13/1/2016,1090.18
14/1/2016,1082.34
15/1/2016,1090.15
18/1/2016,1089.15
19/1/2016,1086.15
20/1/2016,1102.18
21/1/2016,1093.94
22/1/2016,1100.42
25/1/2016,1105.55
26/1/2016,1117.38
27/1/2016,1115.94
28/1/2016,1116.65
29/1/2016,1117.15
1/2/2016,1126.75
2/2/2016,1126.97
3/2/2016,1139.1
4/2/2016,1153.99
5/2/2016,1154.5
8/2/2016,1197.44
9/2/2016,1193.07
10/2/2016,1191.74
11/2/2016,1248.07
12/2/2016,1233.78
15/2/2016,1205.38
16/2/2016,1215.4
17/2/2016,1212.28
18/2/2016,1217.38
19/2/2016,1232.03
22/2/2016,1209.78
23/2/2016,1225.28
24/2/2016,1248.4
25/2/2016,1238.3
26/2/2016,1215.57
29/2/2016,1232.88
1/3/2016,1233.38
2/3/2016,1235.4
3/3/2016,1256.44
4/3/2016,1271.05
7/3/2016,1267.88
8/3/2016,1269.07
9/3/2016,1256.8
10/3/2016,1266.32
11/3/2016,1258.28
14/3/2016,1242.72
15/3/2016,1232.47
16/3/2016,1229.53
17/3/2016,1263.4
18/3/2016,1253.55
21/3/2016,1246.09
22/3/2016,1252.28
23/3/2016,1223.38
24/3/2016,1220.55
25/3/2016,1220.55
28/3/2016,1220.24
